image_path,style_label,pattern_label,color_label
dataset\train\co-ord eastern sets\a perfect co ord set.jpg,0,0,4
dataset\train\co-ord eastern sets\Blush Bloom Elegance 🌸✨.jpg,0,1,2
dataset\train\co-ord eastern sets\pakistani shalwar kameez.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_1011198922597597190.jpg,0,0,6
dataset\train\co-ord eastern sets\pin_1015843259730018748.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_1029987377295530836_🩵.jpg,0,0,2
dataset\train\co-ord eastern sets\pin_1031746595901621360_Brand_ ANNI DESIGNER 4.0 out of 5 stars 413 ANNI DESIGNER Women Rayon Viscose Printed A-Line Kurta P.jpg,0,1,3
dataset\train\co-ord eastern sets\pin_1079667710683036021.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_1082623198499223487__✨Women Ethnic Motifs Printed Regular Kurta with Trousers_😍.png,0,1,2
dataset\train\co-ord eastern sets\pin_1098245059140224762_💕.jpg,0,0,2
dataset\train\co-ord eastern sets\pin_1100637596449854297_farshi salwar suit.jpg,0,0,8
dataset\train\co-ord eastern sets\pin_1114922451524395023_Latest Summer Fashion Trends 2026 _ Minimalists Outfit Ideas.jpg,0,0,3
dataset\train\co-ord eastern sets\pin_1116752038863347025.jpg,0,0,4
"dataset\train\co-ord eastern sets\pin_1122592644601925134_Coord set, indian fashion, indian outfits, indian wear.jpg",0,0,4
dataset\train\co-ord eastern sets\pin_1139481143195546366.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_1145040274117477644.jpg,0,0,5
dataset\train\co-ord eastern sets\pin_1146025436448262291.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_1146869861379838634_This Asthetic pretty suit🩷for college and office going🩷.png,0,0,2
dataset\train\co-ord eastern sets\pin_221591244160674667_Change background and also something else but looks natural and modest.png,0,0,1
dataset\train\co-ord eastern sets\pin_289708188551145461.jpg,0,0,6
dataset\train\co-ord eastern sets\pin_289919294774506688.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_315955730132777965.jpg,0,0,7
dataset\train\co-ord eastern sets\pin_357895501661940002.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_405675878958028804_Women Printed Anarkali Kurta and Pant Set with Dupatta.png,0,1,2
dataset\train\co-ord eastern sets\pin_413486809554200590.jpg,0,0,0
dataset\train\co-ord eastern sets\pin_440367669829937476.jpg,0,0,7
dataset\train\co-ord eastern sets\pin_458593174578316374.jpg,0,0,9
dataset\train\co-ord eastern sets\pin_4595853183618701568_Riah Pants - S.jpg,0,0,4
dataset\train\co-ord eastern sets\pin_4601764101332921472_Mabel Wool Light Blue Kurta Set.jpg,0,0,6
dataset\train\co-ord eastern sets\pin_4611615732117153344_Serene Bloom Co-ords Set.jpg,0,1,0
dataset\train\co-ord eastern sets\pin_576108977351670801.jpg,0,0,3
dataset\train\co-ord eastern sets\pin_582160689364487599.jpg,0,0,8
